paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0.5787,0.0,0,0.0,0.0
article11,0.56793,0.0,0,0.0,0.0
article12,0.61499,0.0,0,0.0,0.0
article13,0.59681,0.0,0,0.0,0.0
article14,0.60719,0.0,0.0,0.0,0.0
article15,0.58004,0.0,0,0.0,0.0
article16,0.5524,0.0,0,0.0,0.0
article17,0.57191,0.0,0,0.0,0.0
article18,0.55353,0.0,0,0.0,0.0
article19,0.61506,0.0,0,0.0,0.0
article20,0.54241,0.0,0,0.0,0.0
article21,0.54653,0.0,0,0.0,0.0
article22,0.57134,0.0,0,0.0,0.0
article23,0.58062,0.0,0,0.0,0.0
article24,0.59253,0.0,0,0.0,0.0
article25,0.55355,0.0,0,0.0,0.0
article26,0.58159,0.0,0,0.0,0.0
article27,0.5855,0.0,0,0.0,0.0
article28,0.59497,0.0,0.0,0.0,0.0
article29,0.63537,0.0,0,0.0,0.0
article30,0.58414,0.0,0,0.0,0.0
article31,0.67706,0.0,0,0.0,0.0
article32,0.54156,0.0,0,0.0,0.0
article33,0.59668,0.0,0.0,0.0,0.0
article34,0.58157,0.0,0,0.0,0.0
article35,0.54993,0.0,0,0.0,0.0
article36,0.57226,0.0,0,0.0,0.0
article37,0.57429,0.0,0,0.0,0.0
article38,0.58227,0.0,0,0.0,0.0
article39,0.57272,0.0,0,0.0,0.0
article40,0.57046,0.0,0,0.0,0.0
article41,0.57864,0.0,0,0.0,0.0
article42,0.60056,0.0,0,0.0,0.0
article43,0.59567,0.0,0.0,0.0,0.0
article44,0.57728,0.0,0.0,0.0,0.0
article45,0.56257,0.0,0.0,0.0,0.0
article46,0.59955,0.0,0,0.0,0.0
article47,0.56639,0.0,0,0.0,0.0
article48,0.54631,0.0,0,0.0,0.0
article49,0.56272,0.0,0.0,0.0,0.0
article5,0.5736,0.0,0,0.0,0.0
article50,0.60662,0.0,0,0.0,0.0
article6,0.56756,0.0,0,0.0,0.0
article7,0.59846,0.0,0,0.0,0.0
article8,0.6129,0.0,0,0.0,0.0
article9,0.53837,0.0,0,0.0,0.0
