paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0.68693,0.0,0,0.0,0.0
article11,0.59794,0.06667,0,0.0,0.02222
article12,0.61829,0.07843,0,0.0,0.02614
article13,0.61499,0.06667,0,0.0,0.02222
article14,0.63762,0.0303,1.0,0.0,0.34343
article15,0.67119,0.16667,0,0.0,0.05556
article16,0.579,0.0,0,0.0,0.0
article17,0.62954,0.0,0,0.0,0.0
article18,0.64297,0.0,0,0.0,0.0
article19,0.68429,0.0,0,0.0,0.0
article20,0.62627,0.07143,0,0.0,0.02381
article21,0.62511,0.22222,0,0.0,0.07407
article22,0.64988,0.13333,0,0.0,0.04444
article23,0.63886,0.05882,0,0.0,0.01961
article24,0.64513,0.0,0,0.0,0.0
article25,0.63628,0.0,0,0.0,0.0
article26,0.67755,0.11111,0,0.0,0.03704
article27,0.62471,0.0,0,0.0,0.0
article28,0.60098,0.08333,1.0,0.0,0.36111
article29,0.68112,0.0,0,0.0,0.0
article30,0.62041,0.0,0,0.0,0.0
article31,0.57934,0.0,0,0.0,0.0
article32,0.64472,0.03448,0,0.0,0.01149
article33,0.65731,0.0,1.0,0.0,0.33333
article34,0.68696,0.0,0,0.0,0.0
article35,0.6126,0.04762,0,0.0,0.01587
article36,0.60138,0.11905,0,0.0,0.03968
article37,0.60856,0.11538,0,0.0,0.03846
article38,0.61777,0.05263,0,0.0,0.01754
article39,0.61216,0.05263,0,0.0,0.01754
article40,0.61442,0.06087,0,0.0,0.02029
article41,0.63763,0.05714,0,0.0,0.01905
article42,0.6203,0.0,0,0.0,0.0
article43,0.65075,0.01639,1.0,0.0,0.3388
article44,0.69927,0.11111,1.0,0.0,0.37037
article45,0.60551,0.0,1.0,0.0,0.33333
article46,0.61664,0.0,0,0.0,0.0
article47,0.61019,0.0098,0,0.0,0.00327
article48,0.66348,0.16667,0,0.0,0.05556
article49,0.63317,0.01695,1.0,0.0,0.33898
article5,0.70143,0.0,0,0.0,0.0
article50,0.61611,0.0,0,0.0,0.0
article6,0.64864,0.0,0,0.0,0.0
article7,0.64646,0.0,0,0.0,0.0
article8,0.64818,0.0,0,0.0,0.0
article9,0.6071,0.06383,0,0.0,0.02128
