paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0.54354,0.0,0,0.0,0.0
article11,0.47664,0.26667,0,0.0,0.08889
article12,0.50591,0.19608,0,0.0,0.06536
article13,0.52589,0.13333,0,0.0,0.04444
article14,0.53727,0.15152,0.0,0.0,0.05051
article15,0.55625,0.20833,0,0.0,0.06944
article16,0.51253,0.0,0,0.0,0.0
article17,0.51706,0.09091,0,0.0,0.0303
article18,0.57181,0.25,0,0.0,0.08333
article19,0.58294,0.25,0,0.0,0.08333
article20,0.49367,0.21429,0,0.0,0.07143
article21,0.51487,0.22222,0,0.0,0.07407
article22,0.51729,0.2,0,0.0,0.06667
article23,0.55218,0.27451,0,0.0,0.0915
article24,0.5121,0.11111,0,0.0,0.03704
article25,0.51427,0.06667,0,0.0,0.02222
article26,0.54107,0.11111,0,0.0,0.03704
article27,0.5109,0.11111,0,0.0,0.03704
article28,0.5179,0.18333,0.0,0.0,0.06111
article29,0.55674,0.0,0,0.0,0.0
article30,0.52429,0.02778,0,0.0,0.00926
article31,0.52677,0.0,0,0.0,0.0
article32,0.54185,0.06897,0,0.0,0.02299
article33,0.53787,0.09524,1.0,0.0,0.36508
article34,0.54549,0.0,0,0.0,0.0
article35,0.52028,0.06349,0,0.0,0.02116
article36,0.50703,0.14286,0,0.0,0.04762
article37,0.51211,0.11538,0,0.0,0.03846
article38,0.53186,0.15789,0,0.0,0.05263
article39,0.52922,0.05263,0,0.0,0.01754
article40,0.50204,0.18261,0,0.0,0.06087
article41,0.51481,0.14286,0,0.0,0.04762
article42,0.52138,0.12903,0,0.0,0.04301
article43,0.51996,0.09836,1.0,0.0,0.36612
article44,0.51875,0.11111,0.0,0.0,0.03704
article45,0.51552,0.11111,0.0,0.0,0.03704
article46,0.4985,0.04762,0,0.0,0.01587
article47,0.51691,0.11765,0,0.0,0.03922
article48,0.53319,0.16667,0,0.0,0.05556
article49,0.51934,0.10169,0.0,0.0,0.0339
article5,0.53168,0.07692,0,0.0,0.02564
article50,0.52996,0.0,0,0.0,0.0
article6,0.5326,0.19512,0,0.0,0.06504
article7,0.52096,0.26667,0,0.0,0.08889
article8,0.52589,0.09091,0,0.0,0.0303
article9,0.50509,0.08511,0,0.0,0.02837
