paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0.5617,0.0,0,0.0,0.0
article11,0.48969,0.2,0,0.0,0.06667
article12,0.54513,0.23529,0,0.0,0.07843
article13,0.53728,0.26667,0,0.0,0.08889
article14,0.5582,0.21212,1.0,0.0,0.40404
article15,0.57119,0.20833,0,0.0,0.06944
article16,0.51779,0.33333,0,0.0,0.11111
article17,0.56083,0.13636,0,0.0,0.04545
article18,0.52837,0.25,0,0.0,0.08333
article19,0.5676,0.0,0,0.0,0.0
article20,0.51735,0.0,0,0.0,0.0
article21,0.52215,0.2963,0,0.0,0.09877
article22,0.51606,0.13333,0,0.0,0.04444
article23,0.51524,0.05882,0,0.0,0.01961
article24,0.52504,0.0,0,0.0,0.0
article25,0.53238,0.2,0,0.0,0.06667
article26,0.53305,0.22222,0,0.0,0.07407
article27,0.51231,0.22222,0,0.0,0.07407
article28,0.52274,0.2,1.0,0.0,0.4
article29,0.52739,0.0,0,0.0,0.0
article30,0.5299,0.08333,0,0.0,0.02778
article31,0.53473,0.0,0,0.0,0.0
article32,0.53903,0.17241,0,0.0,0.05747
article33,0.55344,0.0,1.0,0.0,0.33333
article34,0.54602,0.0,0,0.0,0.0
article35,0.50732,0.06349,0,0.0,0.02116
article36,0.53038,0.21429,0,0.0,0.07143
article37,0.57843,0.15385,0,0.0,0.05128
article38,0.55315,0.15789,0,0.0,0.05263
article39,0.55648,0.05263,0,0.0,0.01754
article40,0.5338,0.23478,0,0.0,0.07826
article41,0.52309,0.14286,0,0.0,0.04762
article42,0.54158,0.06452,0,0.0,0.02151
article43,0.55921,0.03279,0.0,0.0,0.01093
article44,0.53147,0.33333,1.0,0.0,0.44444
article45,0.55386,0.12963,1.0,0.0,0.37654
article46,0.54926,0.11905,0,0.0,0.03968
article47,0.53867,0.08824,0,0.0,0.02941
article48,0.52244,0.16667,0,0.0,0.05556
article49,0.55875,0.10169,0.0,0.0,0.0339
article5,0.55949,0.0,0,0.0,0.0
article50,0.58958,0.0,0,0.0,0.0
article6,0.53245,0.04878,0,0.0,0.01626
article7,0.53424,0.13333,0,0.0,0.04444
article8,0.55949,0.09091,0,0.0,0.0303
article9,0.54515,0.10638,0,0.0,0.03546
