paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0.82096,0.0,0,0.0,0.0
article11,0.79787,0.06667,0,0.0,0.02222
article12,0.80628,0.02041,0,0.0,0.0068
article13,0.83736,0.06667,0,0.0,0.02222
article14,0.8411,0.03125,1.0,0.0,0.34375
article15,0.82819,0.01961,0,0.0,0.00654
article16,0.80937,0.28571,0,0.0,0.09524
article17,0.79596,0.0,0,0.0,0.0
article18,0.83918,0.33333,0,0.0,0.11111
article19,0.90258,0.25,0,0.0,0.08333
article20,0.81027,0.16667,0,0.0,0.05556
article21,0.80614,0.06667,0,0.0,0.02222
article22,0.82218,0.0625,0,0.0,0.02083
article23,0.805,0.01639,0,0.0,0.00546
article24,0.81098,0.0,0,0.0,0.0
article25,0.78678,0.0,0,0.0,0.0
article26,0.82504,0.0,0,0.0,0.0
article27,0.80983,0.05,0,0.0,0.01667
article28,0.80545,0.05,1.0,0.0,0.35
article29,0.87508,0.0,0,0.0,0.0
article30,0.81399,0.05882,0,0.0,0.01961
article31,0.84056,0.0,0,0.0,0.0
article32,0.78095,0.02703,0,0.0,0.00901
article33,0.84791,0.0,1.0,0.0,0.33333
article34,0.86089,0.0,0,0.0,0.0
article35,0.79606,0.09091,0,0.0,0.0303
article36,0.78546,0.09302,0,0.0,0.03101
article37,0.79257,0.04,0,0.0,0.01333
article38,0.80254,0.05263,0,0.0,0.01754
article39,0.78976,0.04762,0,0.0,0.01587
article40,0.77799,0.10435,0,0.0,0.03478
article41,0.79062,0.05714,0,0.0,0.01905
article42,0.80074,0.0303,0,0.0,0.0101
article43,0.79294,0.13333,1.0,0.0,0.37778
article44,0.8047,0.0,1.0,0.0,0.33333
article45,0.77671,0.10909,1.0,0.0,0.3697
article46,0.81543,0.1,0,0.0,0.03333
article47,0.7879,0.11905,0,0.0,0.03968
article48,0.77662,0.14286,0,0.0,0.04762
article49,0.77473,0.06329,1.0,0.0,0.35443
article5,0.80662,0.02941,0,0.0,0.0098
article50,0.81196,0.0,0,0.0,0.0
article6,0.80243,0.06667,0,0.0,0.02222
article7,0.81552,0.05263,0,0.0,0.01754
article8,0.82403,0.0,0,0.0,0.0
article9,0.76344,0.03279,0,0.0,0.01093
