paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0.77637,0.0,0,0.0,0.0
article11,0.76194,0.06667,0,0.0,0.02222
article12,0.77265,0.04082,0,0.0,0.01361
article13,0.80411,0.06667,0,0.0,0.02222
article14,0.79309,0.03125,1.0,0.0,0.34375
article15,0.78252,0.01961,0,0.0,0.00654
article16,0.79074,0.42857,0,0.0,0.14286
article17,0.75806,0.03448,0,0.0,0.01149
article18,0.8047,0.33333,0,0.0,0.11111
article19,0.84844,0.25,0,0.0,0.08333
article20,0.77125,0.16667,0,0.0,0.05556
article21,0.76292,0.06667,0,0.0,0.02222
article22,0.78969,0.0625,0,0.0,0.02083
article23,0.77031,0.03279,0,0.0,0.01093
article24,0.77242,0.0,0,0.0,0.0
article25,0.75784,0.0625,0,0.0,0.02083
article26,0.79343,0.1,0,0.0,0.03333
article27,0.76875,0.05,0,0.0,0.01667
article28,0.77252,0.08333,1.0,0.0,0.36111
article29,0.82752,0.0,0,0.0,0.0
article30,0.77158,0.08824,0,0.0,0.02941
article31,0.77594,0.0,0,0.0,0.0
article32,0.74969,0.13514,0,0.0,0.04505
article33,0.79185,0.0,1.0,0.0,0.33333
article34,0.81004,0.0,0,0.0,0.0
article35,0.74717,0.10606,0,0.0,0.03535
article36,0.74266,0.16279,0,0.0,0.05426
article37,0.73955,0.04,0,0.0,0.01333
article38,0.75356,0.05263,0,0.0,0.01754
article39,0.7558,0.19048,0,0.0,0.06349
article40,0.73363,0.12174,0,0.0,0.04058
article41,0.7629,0.08571,0,0.0,0.02857
article42,0.75835,0.0303,0,0.0,0.0101
article43,0.75463,0.11667,0.0,0.0,0.03889
article44,0.80173,0.125,0.0,0.0,0.04167
article45,0.74872,0.14545,1.0,0.0,0.38182
article46,0.76614,0.1,0,0.0,0.03333
article47,0.75539,0.16667,0,0.0,0.05556
article48,0.72913,0.14286,0,0.0,0.04762
article49,0.73395,0.07595,1.0,0.0,0.35865
article5,0.77374,0.05882,0,0.0,0.01961
article50,0.75197,0.0,0,0.0,0.0
article6,0.766,0.08889,0,0.0,0.02963
article7,0.77094,0.05263,0,0.0,0.01754
article8,0.79421,0.0,0,0.0,0.0
article9,0.73406,0.09836,0,0.0,0.03279
