paragraphs,fitness score,obligation costs,so costs,resource costs,costs
article10,0,1.0,0,0.0,0.33333
article11,0,1.0,0,0.0,0.33333
article12,0.80335,0.97959,0,0.0,0.32653
article13,0,1.0,0,0.0,0.33333
article14,0,1.0,1.0,0.0,0.66667
article15,0,1.0,0,0.0,0.33333
article16,0,1.0,0,0.0,0.33333
article17,0,1.0,0,0.0,0.33333
article18,0,1.0,0,0.0,0.33333
article19,0,1.0,0,0.0,0.33333
article20,0,1.0,0,0.0,0.33333
article21,0,1.0,0,0.0,0.33333
article22,0,1.0,0,0.0,0.33333
article23,0,1.0,0,0.0,0.33333
article24,0,1.0,0,0.0,0.33333
article25,0,1.0,0,0.0,0.33333
article26,0,1.0,0,0.0,0.33333
article27,0,1.0,0,0.0,0.33333
article28,0.86261,0.98333,1.0,0.0,0.66111
article29,0,1.0,0,0.0,0.33333
article30,0,1.0,0,0.0,0.33333
article31,0,1.0,0,0.0,0.33333
article32,0,1.0,0,0.0,0.33333
article33,0,1.0,1.0,0.0,0.66667
article34,0,1.0,0,0.0,0.33333
article35,0,1.0,0,0.0,0.33333
article36,0,1.0,0,0.0,0.33333
article37,0,1.0,0,0.0,0.33333
article38,0,1.0,0,0.0,0.33333
article39,0,1.0,0,0.0,0.33333
article40,0,1.0,0,0.0,0.33333
article41,0,1.0,0,0.0,0.33333
article42,0,1.0,0,0.0,0.33333
article43,0,1.0,1.0,0.0,0.66667
article44,0,1.0,1.0,0.0,0.66667
article45,0,1.0,1.0,0.0,0.66667
article46,0,1.0,0,0.0,0.33333
article47,0,1.0,0,0.0,0.33333
article48,0,1.0,0,0.0,0.33333
article49,0,1.0,1.0,0.0,0.66667
article5,0,1.0,0,0.0,0.33333
article50,0,1.0,0,0.0,0.33333
article6,0,1.0,0,0.0,0.33333
article7,0,1.0,0,0.0,0.33333
article8,0,1.0,0,0.0,0.33333
article9,0,1.0,0,0.0,0.33333
